first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,element_type
Vitor,de Oliveira Nunes dos Reis,0,0,1,0,0.0,3.2,0.0,0.3,0,0,0,45,DEF
Pep,Guardiola,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,15,AM
Omar,Marmoush,7,1,1174,12,246.7,318.0,410.0,97.3,8,0,0,74,FWD
Nico,González,1,1,760,7,78.7,137.2,62.0,27.5,6,0,3,60,MID
Claudio,Echeverri,0,0,5,0,0.4,2.2,0.0,0.3,0,0,0,58,MID
Amad,Diallo,8,8,1898,30,687.2,634.0,615.0,193.8,7,0,5,53,MID
Antony Matheus,dos Santos,0,0,135,2,50.7,35.0,74.0,15.8,0,0,0,57,MID
Bruno,Borges Fernandes,8,12,3017,47,1407.7,1017.8,587.0,300.8,10,2,3,84,MID
Altay,Bayindir,0,0,360,10,0.0,80.0,0.0,7.9,1,0,0,43,GK
Carlos Henrique,Casimiro,1,0,1489,20,348.2,433.2,265.0,104.8,6,0,5,46,MID
Diogo,Dalot Teixeira,0,4,2812,45,434.2,493.2,258.0,118.2,8,0,5,50,DEF
Christian,Eriksen,1,2,1052,16,474.3,235.8,79.0,78.9,4,0,4,52,MID
Jonny,Evans,0,0,312,2,5.3,66.6,23.0,9.5,1,0,1,44,DEF
Alejandro,Garnacho,6,4,2188,36,532.2,454.0,904.0,188.3,5,0,3,59,MID
Hannibal,Mejbri,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Tom,Heaton,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39,GK
Rasmus,Højlund,4,1,1998,31,254.7,187.0,432.0,86.3,6,0,2,69,FWD
Victor,Lindelöf,0,0,695,9,48.5,125.4,8.0,18.3,2,0,1,43,DEF
Harry,Maguire,1,0,1751,27,101.2,409.4,233.0,74.5,3,0,7,49,DEF
Kobbie,Mainoo,0,0,1646,27,250.8,196.6,137.0,58.8,5,0,5,52,MID
Tyrell,Malacia,0,0,99,1,13.9,5.2,0.0,1.7,0,0,1,44,DEF
Lisandro,Martínez,2,1,1751,27,153.9,426.6,158.0,73.8,6,0,7,43,DEF
Scott,McTominay,0,0,17,1,0.3,3.2,5.0,0.9,0,0,0,49,MID
Mason,Mount,1,0,613,11,140.0,104.0,218.0,45.6,3,0,3,63,MID
André,Onana,0,0,3060,44,13.0,733.0,0.0,74.7,9,0,0,49,GK
Facundo,Pellistri Rebollo,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,50,MID
Luke,Shaw,0,0,346,5,68.2,48.2,11.0,12.7,0,0,1,49,DEF
Joshua,Zirkzee,3,2,1385,24,212.0,222.6,351.0,78.0,3,0,2,65,FWD
Leny,Yoro,0,0,1160,24,55.8,207.4,54.0,31.8,1,0,5,43,DEF
Matthijs,de Ligt,2,0,2119,36,88.7,518.4,303.0,91.5,4,0,3,48,DEF
Noussair,Mazraoui,0,1,2836,43,332.7,619.4,123.0,107.5,7,0,3,42,DEF
Toby,Collyer,0,0,174,2,29.9,40.4,8.0,7.9,0,0,0,45,MID
Ethan,Wheatley,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,FWD
Manuel,Ugarte,1,2,1777,33,195.9,313.6,113.0,62.1,4,0,11,49,MID
Ayden,Heaven,0,0,169,1,12.9,43.4,10.0,6.6,1,0,1,40,DEF
Jack,Fletcher,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Harry,Amass,0,0,345,9,26.5,40.0,15.0,8.2,0,0,0,40,DEF
Jayce,Fitzgerald,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Godwill,Kukonki,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Ruben Filipe,Marques Diogo Amorim,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,8,AM
Elyh,Harrison,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Patrick,Dorgu,0,0,840,12,175.3,106.4,112.0,39.4,2,1,3,45,DEF
Chido,Obi-Martin,0,0,160,5,5.1,8.2,46.0,5.4,0,0,1,45,FWD
Tyler,Fredricson,0,0,166,5,4.9,37.4,2.0,4.4,0,0,0,40,DEF
Jack,Moorhouse,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Sékou,Koné,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Hubert,Graczyk,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Dermot,Mee,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Alex,Murphy,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Miguel,Almirón Rejala,0,0,150,3,40.9,15.2,57.0,11.3,0,0,0,54,MID
Harvey,Barnes,9,5,1746,23,407.1,522.2,701.0,163.1,6,0,0,59,MID
Sven,Botman,0,0,412,4,28.4,110.4,96.0,23.6,2,0,1,44,DEF
Bruno,Guimarães Rodriguez Moura,5,6,3273,44,796.0,723.0,454.0,197.5,13,0,7,62,MID
Dan,Burn,1,1,3330,45,123.6,736.6,297.0,115.8,13,0,11,46,DEF
Martin,Dúbravka,0,0,900,12,0.0,220.2,0.0,22.0,5,0,0,40,GK
Anthony,Gordon,6,6,2428,33,777.3,537.0,655.0,196.8,10,0,2,74,MID
Lewis,Hall,0,7,2188,31,561.2,561.6,128.0,125.3,8,0,3,47,DEF
Isaac,Hayden,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44,MID
Alexander,Isak,23,6,2758,41,573.1,1043.0,1320.0,292.7,12,0,1,94,FWD
Jacob,Murphy,8,13,2356,31,625.2,713.4,519.0,185.6,11,0,4,52,MID
Joelinton Cássio,Apolinário de Lira,4,4,2394,32,389.3,469.8,465.0,132.7,10,0,10,60,MID
Lloyd,Kelly,0,1,299,6,29.0,80.6,20.0,12.6,0,0,2,42,DEF
Emil,Krafth,0,0,334,2,19.7,59.2,13.0,9.3,1,0,2,43,DEF
Garang,Kuol,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44,MID
Jamaal,Lascelles,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,DEF
Jamal,Lewis,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Tino,Livramento,0,1,2835,40,406.2,567.4,127.0,110.1,10,0,1,46,DEF
Sean,Longstaff,0,1,783,11,78.4,117.2,76.0,27.3,2,0,2,44,MID
