first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost
Charlie,Austin,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,60
Danny,Ings,22,2,2800,44,458.3,1010.0,1558.0,302.4,6,0,3,76
Michael,Obafemi,3,2,655,12,130.7,170.8,235.0,53.4,3,0,1,49
Shane,Long,2,3,1386,20,264.8,190.8,536.0,99.4,5,0,0,46
Sam,Gallagher,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Fraser,Forster,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,42
Alex,McCarthy,0,0,2520,35,10.0,652.0,0.0,66.0,7,0,0,45
Angus,Gunn,0,0,900,25,0.0,219.4,0.0,22.1,2,0,0,42
Nathan,Redmond,4,4,2763,51,539.1,517.2,752.0,181.2,7,0,2,62
James,Ward-Prowse,5,4,3420,60,989.9,864.6,548.0,240.7,9,0,9,57
Mohamed,Elyounoussi,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,52
Stuart,Armstrong,5,4,1706,25,274.9,418.2,431.0,112.4,7,0,4,52
Mario,Lemina,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,46
Pierre-Emile,Højbjerg,0,3,2750,51,469.0,493.0,368.0,133.1,7,0,5,48
Tyreke,Johnson,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44
Callum,Slattery,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44
Oriol,Romeu Vidal,0,0,1855,38,272.9,333.2,69.0,67.6,5,0,5,43
Kyle,Walker-Peters,0,1,944,12,108.6,168.2,48.0,32.2,2,0,1,44
Che,Adams,4,4,1095,17,184.9,226.2,524.0,92.3,4,0,0,53
Moussa,Djenepo,2,2,920,14,153.4,224.4,252.0,62.9,2,1,4,52
Wesley,Hoedt,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,42
Sofiane,Boufal,0,3,753,17,203.7,149.4,267.0,62.0,1,0,2,55
Kevin,Danso,0,1,275,8,26.0,58.4,6.0,8.9,1,1,0,42
Daniel,N'Lundulu,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44
Harry,Lewis,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
William,Smallbone,0,2,389,4,53.2,70.2,43.0,16.5,3,0,0,45
Nathan,Tella,0,0,2,0,0.0,3.0,17.0,2.0,0,0,0,45
Jake,Vokins,0,0,90,1,16.7,8.4,3.0,2.8,0,0,0,40
Alexandre,Jankewitz,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Will,Ferry,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Jacob,Maddox,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Ben,Davies,0,0,1430,19,172.4,279.8,94.0,54.4,4,0,6,53
Jan,Vertonghen,1,1,1644,24,56.1,398.4,63.0,51.9,4,0,2,52
Toby,Alderweireld,2,2,2957,39,196.0,773.6,182.0,115.2,7,0,7,53
Davinson,Sánchez,0,2,2431,37,31.0,550.0,82.0,66.5,4,0,6,53
Kieran,Trippier,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,55
Juan,Foyth,0,0,66,3,12.5,18.6,0.0,3.1,0,0,1,48
Serge,Aurier,1,7,2699,33,508.1,655.2,252.0,141.6,9,1,2,51
Harry,Kane,18,2,2588,36,391.0,843.8,1071.0,230.6,6,0,4,110
Vincent,Janssen,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Hugo,Lloris,0,0,1808,21,0.0,564.6,0.0,56.5,6,0,0,53
Paulo,Gazzaniga,0,0,1612,26,10.0,449.8,0.0,46.1,2,0,1,41
Heung-Min,Son,11,13,2478,32,606.1,800.6,1144.0,254.6,7,2,0,97
Christian,Eriksen,2,2,1090,18,348.9,262.4,225.0,83.3,1,0,5,86
Bamidele,Alli,8,6,1845,25,328.6,531.2,627.0,148.9,4,0,2,83
