first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards
Vincent,Kompany,3,0,820,6,32.9,249.0,123,40.6,5,0,5
Ga�l,Clichy,1,0,2123,24,314.8,407.4,38,76.1,8,0,2
Bacary,Sagna,0,1,1346,14,152.1,223.2,53,42.8,6,0,2
Eliaquim,Mangala,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Nicol�s,Otamendi,1,2,2592,28,125.6,772.4,276,117.6,9,0,9
Fabian,Delph,1,0,224,4,42.3,68.2,43,15.3,0,0,1
Raheem,Sterling,7,14,2509,27,688.3,527.0,1170,237.7,9,0,7
Samir,Nasri,0,0,16,0,12.3,4.8,41,5.8,0,0,0
David,Silva,4,9,2760,32,1388.4,671.2,801,286.2,12,0,6
Gnegneri Yaya,Tour�,5,0,1941,17,407.7,474.2,335,121.8,12,0,4
Jes�s,Navas,0,3,1064,17,359.9,161.0,163,68.3,2,0,2
Fernando,Luiz Rosa,2,1,2755,27,575.7,546.6,364,148.5,10,2,4
Fernando Francisco,Reges,0,0,568,10,65.7,115.2,29,21.0,1,0,3
Kevin,De Bruyne,6,21,2877,34,1702.0,872.4,790,336.6,11,0,4
Ilkay,G�ndogan,3,1,704,8,209.6,186.8,199,59.6,3,0,0
Manuel,Agudo Dur�n,4,3,777,7,238.4,210.0,411,85.6,3,1,3
Oleksandr,Zinchenko,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Sergio,Ag�ero,20,5,2404,30,518.2,871.8,1853,323.9,8,1,4
Wilfried,Bony,2,0,684,12,116.9,103.0,271,49.0,3,0,1
Kelechi,Iheanacho,4,3,537,9,193.7,224.0,463,87.4,1,0,0
David,de Gea,0,0,3150,29,10.0,542.4,0,55.0,14,0,2
Sergio,Romero,0,0,180,0,0.0,77.2,0,7.7,2,0,0
Chris,Smalling,1,1,1217,16,36.1,342.6,95,47.4,4,0,0
Phil,Jones,0,0,1584,14,35.2,437.8,89,56.3,5,0,2
Guillermo,Varela,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Luke,Shaw,0,3,688,6,160.5,139.2,64,36.5,4,0,1
Marcos,Rojo,1,0,1663,13,71.0,446.4,147,66.5,8,0,5
Patrick,McNair,0,0,353,9,51.1,30.6,28,10.7,1,0,0
Antonio,Valencia,1,3,2483,20,614.8,547.2,243,140.6,12,0,5
Matteo,Darmian,0,0,1333,8,74.0,206.0,13,29.4,9,0,3
Cameron,Borthwick-Jackson,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Timothy,Fosu-Mensah,0,0,97,0,2.9,12.8,8,2.4,1,0,0
Daley,Blind,1,2,1830,17,426.6,534.0,122,108.2,9,0,2
Eric,Bailly,0,0,2058,15,31.0,481.2,98,61.2,13,0,4
Juan,Mata,6,3,1614,16,747.5,457.6,598,179.9,10,0,3
Marouane,Fellaini,1,0,1604,14,281.9,299.0,333,90.9,10,1,8
Memphis,Depay,0,0,24,1,1.8,1.2,4,0.7,0,0,1
Michael,Carrick,0,0,1601,14,209.3,288.0,48,54.5,5,0,2
Ashley,Young,0,1,760,6,167.0,147.4,61,37.6,4,0,2
Adnan,Januzaj,0,3,1628,38,470.8,226.2,364,106.4,3,1,3
Ander,Herrera,1,6,2465,18,720.8,593.2,276,159.2,13,1,5
Andreas,Pereira,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Morgan,Schneiderlin,1,0,1073,14,112.3,216.2,90,42.0,5,0,2
Bastian,Schweinsteiger,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Jesse,Lingard,1,3,1360,12,522.3,229.4,439,118.0,7,0,3
Anthony,Martial,4,6,1553,13,399.1,382.8,579,136.2,9,0,2
Henrikh,Mkhitaryan,4,1,1348,8,512.2,325.8,427,126.2,10,0,1
Wayne,Rooney,5,5,1540,16,593.8,394.2,616,160.2,6,0,8
James,Wilson,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Marcus,Rashford,5,3,1712,15,411.4,316.2,734,145.5,7,0,3
Zlatan,Ibrahimovic,17,7,2438,22,775.0,807.8,1694,327.3,11,0,7
Dimitrios,Konstantopoulos,0,0,0,0,0.0,0.0,0,0.0,0,0,0
V�ctor,Vald�s,0,0,2520,36,0.3,607.6,2,61.0,8,0,1
Daniel,Ayala,1,0,918,16,10.4,220.8,166,39.8,3,0,3
George,Friend,0,3,1964,35,169.1,436.0,213,82.0,4,0,4
Dael,Fry,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Ben,Gibson,1,1,3420,53,55.7,818.4,248,112.2,11,0,4
Emilio,Nsue Lopez,0,0,320,5,31.9,47.6,38,11.9,1,0,0
Bernardo,Espinosa Z��iga,0,0,975,13,10.0,224.8,39,27.4,4,0,2
Albert,Adomah,0,0,122,2,20.5,8.4,33,6.0,0,0,0
Stewart,Downing,1,3,2214,39,566.9,324.6,283,117.7,7,0,1
Adam,Clayton,0,2,2804,45,323.3,454.6,71,84.8,10,0,10
Grant,Leadbitter,1,0,710,12,139.9,93.4,88,31.9,3,0,1
Adam,Reach,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Adam,Forshaw,0,2,2695,36,511.6,275.6,240,102.5,9,0,4
Carlos,De Pena,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Julien,de Sart,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Viktor,Fischer,0,3,438,6,121.7,82.6,165,37.0,1,0,0
Marten,de Roon,4,1,2773,44,245.8,370.6,390,100.1,8,0,8
David,Nugent,0,0,43,0,3.3,3.4,2,0.7,0,0,0
Jordan,Rhodes,0,0,211,2,28.0,21.6,104,15.4,0,0,0
Cristhian,Stuani,4,0,1355,15,132.4,224.0,430,78.3,4,0,4
Fraser,Forster,0,0,3420,48,10.0,553.6,0,56.4,14,0,3
Paulo,Gazzaniga,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Ryan,Bertrand,2,5,2507,36,442.4,517.4,255,121.5,12,0,3
Jose,Fonte,0,0,2934,46,128.0,654.4,221,100.2,11,0,4
Maya,Yoshida,1,1,2070,32,62.8,532.6,277,87.5,7,0,2
Matt,Targett,0,0,373,4,87.9,64.6,12,16.5,1,0,0
Florin,Gardos,0,0,0,0,0.0,0.0,0,0.0,0,0,0
C�dric,Soares,0,3,2515,36,648.9,591.0,155,139.6,11,0,7
Cuco,Martina,0,0,592,6,114.7,94.2,20,22.7,3,0,0
Virgil,van Dijk,1,0,1852,23,81.1,546.2,232,86.0,7,1,3
Nathan,Redmond,7,1,2898,40,880.3,545.6,1021,243.8,12,1,2
Steven,Davis,0,3,2643,37,573.0,437.6,379,138.9,10,0,3
James,Ward-Prowse,4,4,1883,26,729.1,427.4,448,160.7,9,0,4
Harrison,Reed,0,0,64,1,1.4,11.0,0,1.3,0,0,0
Dusan,Tadic,3,7,2411,29,1144.1,455.4,819,242.0,13,0,4
Jordy,Clasie,1,1,1022,15,129.1,122.4,94,33.3,2,0,3
Oriol,Romeu Vidal,1,0,3071,42,280.5,585.6,240,110.7,13,0,11
Jay,Rodriguez,5,2,893,15,132.8,255.2,507,89.4,3,0,0
Pierre-Emile,H�jbjerg,0,0,1300,16,305.0,222.0,216,74.1,6,0,2
Shane,Long,3,2,1262,23,231.6,201.6,584,100.1,2,0,2
Charlie,Austin,6,1,934,8,134.3,274.2,573,97.9,6,0,1
Shay,Given,0,0,450,14,0.0,144.8,0,14.4,0,0,1
Jack,Butland,0,0,450,8,0.0,121.8,0,12.2,2,0,0
Jakob,Haugaard,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Ryan,Shawcross,1,2,3150,53,65.3,732.2,395,119.3,9,0,6
Marc,Wilson,0,0,255,7,34.5,63.0,5,10.3,0,0,3
