first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost
Michael,Obafemi,1,1,134,3,27.4,62.6,127.0,21.6,0,0,1,50
Yan,Valery,2,1,1709,30,124.7,329.4,157.0,60.7,3,1,3,41
Tyreke,Johnson,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,45
Kayne,Ramsay,0,0,90,3,0.0,11.2,0.0,1.1,0,0,0,40
Callum,Slattery,0,0,110,1,2.6,15.8,24.0,4.2,0,0,0,45
Sam,Gallagher,0,0,32,1,0.3,0.0,0.0,0.0,0,0,0,45
Alfie,Jones,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Hugo,Lloris,0,0,2970,33,0.0,858.2,0.0,86.0,12,0,0,54
Michel,Vorm,0,0,180,4,0.0,66.8,0.0,6.6,0,0,0,47
Toby,Alderweireld,0,0,2921,31,139.1,690.2,229.0,105.7,12,0,3,60
Danny,Rose,0,4,1792,16,416.6,343.6,216.0,97.6,8,0,5,58
Jan,Vertonghen,1,0,1911,23,116.7,445.4,165.0,72.7,6,1,3,59
Ben,Davies,0,0,1837,26,256.6,388.2,176.0,82.3,6,0,2,56
Kieran,Trippier,1,5,2275,23,827.0,601.6,121.0,155.0,10,0,2,60
Kyle,Walker-Peters,0,3,374,4,104.9,107.4,20.0,23.1,2,0,1,42
Davinson,Sánchez,1,2,1941,22,60.3,454.2,183.0,70.0,6,0,2,58
Serge,Aurier,0,2,562,9,108.4,151.6,45.0,30.5,2,0,1,57
Eric,Dier,3,0,1504,18,150.1,363.4,121.0,63.6,5,0,4,47
Mousa,Dembélé,0,0,512,6,17.5,51.0,1.0,7.1,1,0,1,49
Erik,Lamela,4,4,965,12,339.9,263.8,441.0,104.1,4,0,2,59
Christian,Eriksen,8,12,2770,37,1148.7,876.0,801.0,283.0,8,0,3,92
Bamidele,Alli,5,4,1822,21,436.6,467.2,681.0,158.5,8,0,4,88
Victor,Wanyama,1,0,511,4,45.0,113.2,80.0,23.9,3,0,2,49
Heung-Min,Son,12,8,2033,23,508.0,690.6,1002.0,219.9,10,1,2,86
Harry,Winks,1,0,1589,17,168.6,268.2,71.0,50.7,6,0,4,55
Moussa,Sissoko,0,3,2329,28,380.7,329.0,193.0,90.2,11,0,2,49
Lucas,Rodrigues Moura da Silva,10,2,2115,18,415.6,556.4,650.0,161.9,14,0,3,69
Fernando,Llorente,1,4,681,8,189.5,138.0,307.0,63.1,2,0,2,51
Harry,Kane,17,6,2423,31,430.0,824.6,1359.0,261.3,9,0,5,126
Georges-Kévin,Nkoudou,0,1,4,0,14.3,19.0,0.0,3.3,0,0,0,48
Luke,Amos,0,0,2,0,0.1,2.2,0.0,0.2,0,0,0,43
Paulo,Gazzaniga,0,0,270,2,0.0,82.8,0.0,8.2,1,0,0,45
Alfie,Whiteman,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Oliver,Skipp,0,0,214,1,20.5,35.2,12.0,7.0,2,0,0,45
Juan,Foyth,1,0,888,12,59.8,248.6,53.0,36.3,3,1,3,50
Timothy,Eyoma,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Kazaiah,Sterling,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
George,Marsh,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Vincent,Janssen,0,0,36,0,1.6,6.2,57.0,6.5,0,0,0,45
Heurelho,Gomes,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,42
Pontus,Dahlberg,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43
Younes,Kaboul,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,42
Craig,Cathcart,3,0,3095,54,25.5,719.6,262.0,100.8,6,0,2,45
Sebastian,Prödl,0,0,13,0,0.0,0.0,0.0,0.0,0,0,0,42
José,Holebas,3,7,2392,41,598.2,642.4,164.0,140.6,5,1,12,48
Miguel,Britos,0,0,184,5,0.3,28.4,0.0,2.9,0,0,0,43
Christian,Kabasele,0,0,1584,29,24.0,355.2,189.0,56.7,3,1,2,44
Daryl,Janmaat,0,2,1520,22,212.2,346.2,118.0,67.8,3,0,3,49
Adrian,Mariappa,0,0,1924,32,61.9,404.6,79.0,54.5,5,0,3,42
Francisco,Femenía Far,1,1,2043,40,252.9,420.2,87.0,76.0,4,0,1,42
Marvin,Zeegelaar,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,42
Marc,Navarro,0,0,84,3,5.3,16.0,2.0,2.3,0,0,0,42
Adam,Masina,0,1,1002,20,70.8,201.0,27.0,30.1,2,0,5,43
Nathaniel,Chalobah,0,0,265,7,20.2,35.6,31.0,8.8,0,0,2,44
Tom,Cleverley,1,0,470,7,33.4,97.4,40.0,17.2,3,0,2,50
Etienne,Capoue,1,3,2944,48,219.2,656.6,152.0,102.8,8,1,14,48
Abdoulaye,Doucouré,5,7,3061,56,544.1,735.6,709.0,198.9,5,0,7,58
Roberto,Pereyra,6,4,2817,53,512.7,458.4,744.0,171.8,6,0,3,59
Will,Hughes,2,4,2419,39,416.0,429.2,451.0,129.6,7,0,5,49
Gerard,Deulofeu,10,5,2064,29,455.6,549.2,856.0,185.6,9,0,3,57
Andre,Gray,7,2,1352,23,183.9,331.8,620.0,112.8,4,0,2,59
Troy,Deeney,9,5,2542,44,549.5,607.4,1019.0,216.9,5,1,4,58
Stefano,Okaka,0,0,22,1,24.7,3.2,26.0,5.2,0,0,1,50
Jerome,Sinclair,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44
Ben,Foster,0,0,3420,59,50.0,988.0,1.0,104.1,7,0,1,46
Ken,Sema,1,2,747,9,112.7,128.6,169.0,40.8,3,0,1,46
Domingos,Quina,1,0,334,5,40.2,69.0,22.0,13.1,0,0,0,44
Isaac,Success Ajayi,1,1,1033,21,274.5,148.6,394.0,81.4,2,0,4,45
Ben,Wilmot,0,0,26,2,0.3,7.2,0.0,0.8,0,0,0,40
Adalberto,Peñaranda,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,50
Adrián,San Miguel del Castillo,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,42
Lukasz,Fabianski,0,0,3420,55,20.0,1136.0,0.0,115.5,7,0,0,47
Winston,Reid,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44
Aaron,Cresswell,0,1,1588,26,290.9,318.2,113.0,72.3,1,0,1,50
Angelo,Ogbonna,1,1,1871,36,54.2,462.4,168.0,68.5,2,0,2,42
Sam,Byram,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Pablo,Zabaleta,0,1,2089,35,163.2,447.4,106.0,71.8,4,0,4,43
Declan,Rice,2,0,3003,47,174.2,584.4,213.0,97.1,6,0,4,44
