first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,element_type
Pierre,Ekwah,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Daniel,Chesters,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
João Filipe Iria,Santos Moutinho,2,1,2970,40,645.2,512.6,144.0,130.1,11,0,4,49,MID
Rui Pedro,dos Santos Patrício,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,50,GK
Willy,Boly,0,0,900,20,18.0,157.2,27.0,20.3,1,0,1,49,DEF
Conor,Coady,4,0,3361,43,45.4,737.2,202.0,98.8,11,0,4,47,DEF
Raúl,Jiménez,6,5,2630,32,481.4,441.4,742.0,165.3,11,2,5,75,FWD
Romain,Saïss,2,0,2706,30,112.2,694.6,214.0,102.3,11,0,6,48,DEF
Fernando,Marçal,0,3,1448,14,187.3,247.2,135.0,56.3,6,0,3,42,DEF
Jonathan,Castro Otto,2,0,1022,22,159.5,203.0,144.0,50.7,2,0,1,45,DEF
Leander,Dendoncker,2,3,1945,29,175.5,339.0,258.0,77.4,5,0,4,46,MID
Adama,Traoré,1,1,1069,10,271.1,192.0,300.0,76.6,5,0,0,56,MID
Rúben Diogo,da Silva Neves,4,2,2659,34,408.2,617.4,237.0,126.3,9,0,9,52,MID
Nélson,Cabral Semedo,0,1,2131,18,289.3,346.2,266.0,90.3,9,0,1,48,DEF
Daniel,Castelo Podence,2,3,1475,12,493.0,328.6,459.0,128.2,9,0,2,55,MID
Max,Kilman,1,1,2688,25,68.8,587.8,207.0,86.5,10,0,3,45,DEF
Morgan,Gibbs-White,0,0,7,0,0.7,0.0,24.0,2.1,0,0,1,45,MID
Pedro,Lomba Neto,1,1,459,14,193.9,68.4,200.0,46.1,0,0,3,62,MID
Owen,Otasowie,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Ki-Jana,Hoever,0,0,306,5,22.1,42.6,8.0,7.1,1,0,1,39,DEF
Andreas,Söndergaard,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39,GK
Fabio,Silva,0,1,562,7,48.3,21.0,262.0,32.0,0,0,0,56,FWD
Yerson,Mosquera Valdelamar,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44,DEF
John,Ruddy,0,0,135,3,0.0,11.4,0.0,1.1,0,0,0,43,GK
Francisco,Machado Mota de Castro Trincão,2,1,1328,15,247.1,240.0,390.0,87.7,7,0,0,56,MID
Rayan,Ait Nouri,1,4,1826,26,320.8,371.0,167.0,86.2,7,0,4,41,DEF
José,Malheiro de Sá,0,1,3285,40,30.0,938.8,0.0,96.7,11,0,3,52,GK
Patrick,Cutrone,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,50,FWD
Luke,Cundle,0,0,179,1,32.0,17.0,2.0,5.1,1,0,0,44,MID
Chem,Campbell,0,0,12,0,1.7,2.0,2.0,0.6,0,0,0,44,MID
Christian,Marques,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Hee-Chan,Hwang,5,1,1811,22,258.6,318.0,433.0,100.5,7,0,2,54,FWD
Louie,Moulden,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
James,Storer,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Hugo,Bueno,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Bruno André,Cavaco Jordão,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Toti António,Gomes,0,0,360,6,4.3,59.6,28.0,9.2,0,0,1,44,DEF
Dion,Sanderson,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Ryan,Giles,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Francisco Jorge,Tomás Oliveira,0,3,203,5,83.4,99.4,118.0,30.1,0,0,0,55,MID
